n;thema;frage;antwort
1;Präteritum;1. Person Singular Präteritum von 'grassieren';Ich grassierte.
1;Präteritum;3. Person Plural Präteritum von 'probieren';Sie probierten.
1;Präteritum;3. Person Singular Präteritum von 'beten';Er/sie/es betete.
1;Präteritum;1. Person Singular Präteritum von 'können';Ich konnte.
1;Präteritum;1. Person Plural Präteritum von 'sein';Wir waren.
1;Präteritum;1. Person Singular Präteritum von 'spucken';Ich spuckte.
1;Präteritum;3. Person Plural Präteritum von 'nehmen';Sie nahmen.
1;Präteritum;1. Person Plural Präteritum von 'verheiraten';Wir verheirateten.
1;Präteritum;1. Person Plural Präteritum von 'probieren';Wir probierten.
1;Präteritum;1. Person Singular Präteritum von 'mögen';Ich mochte.
1;Präteritum;2. Person Singular Präteritum von 'beneiden';Du beneidetest.
1;Präteritum;1. Person Plural Präteritum von 'wollen';Wir wollten.
1;Präteritum;3. Person Singular Präteritum von 'vermehren';Er/sie/es vermehrte.
1;Präteritum;3. Person Plural Präteritum von 'erscheinen';Sie erschienen.
1;Präteritum;1. Person Singular Präteritum von 'probieren';Ich probierte.
1;Präteritum;3. Person Singular Präteritum von 'erscheinen';Er/sie/es erschien.
1;Präteritum;3. Person Singular Präteritum von 'wetten';Er/sie/es wettete.
1;Präteritum;3. Person Singular Präteritum von 'beten';Er/sie/es betete.
1;Präteritum;3. Person Plural Präteritum von 'mögen';Sie mochten.
1;Präteritum;3. Person Plural Präteritum von 'helfen';Sie halfen.
1;Präteritum;3. Person Plural Präteritum von 'helfen';Sie halfen.
1;Präteritum;2. Person Singular Präteritum von 'gehen';Du gingst.
1;Präteritum;3. Person Plural Präteritum von 'gehen';Sie gingen.
1;Präteritum;3. Person Singular Präteritum von 'studieren';Er/sie/es studierte.
1;Präteritum;3. Person Plural Präteritum von 'sein';Sie waren.
1;Präteritum;3. Person Plural Präteritum von 'beten';Sie beteten.
1;Präteritum;2. Person Singular Präteritum von 'treiben';Du triebst.
1;Präteritum;2. Person Plural Präteritum von 'werfen';Ihr warft.
1;Präteritum;3. Person Singular Präteritum von 'sterben';Er/sie/es starb.
1;Präteritum;1. Person Plural Präteritum von 'gehen';Wir gingen.
1;Präteritum;3. Person Plural Präteritum von 'können';Sie konnten.
1;Präteritum;3. Person Singular Präteritum von 'vermehren';Er/sie/es vermehrte.
1;Präteritum;3. Person Plural Präteritum von 'leben';Sie lebten.
1;Präteritum;2. Person Plural Präteritum von 'wetten';Ihr wettetet.
1;Präteritum;2. Person Singular Präteritum von 'haben';Du hattest.
1;Präteritum;3. Person Plural Präteritum von 'können';Sie konnten.
1;Präteritum;3. Person Singular Präteritum von 'müssen';Er/sie/es musste.
1;Präteritum;1. Person Singular Präteritum von 'probieren';Ich probierte.
1;Präteritum;1. Person Plural Präteritum von 'werfen';Wir warfen.
1;Präteritum;2. Person Singular Präteritum von 'wissen';Du wusstest.
1;Präteritum;1. Person Singular Präteritum von 'werfen';Ich warf.
1;Präteritum;3. Person Plural Präteritum von 'studieren';Sie studierten.
1;Präteritum;1. Person Plural Präteritum von 'erscheinen';Wir erschienen.
1;Präteritum;3. Person Plural Präteritum von 'studieren';Sie studierten.
1;Präteritum;1. Person Singular Präteritum von 'beneiden';Ich beneidete.
